"«Según tu palabra, Soberano Señor, *","congregation","hangingIndent"
"ya puedes despedir a tu siervo en paz.","congregation","indent"
"Porque han visto mis ojos tu salvación, *","congregation","hangingIndent"
"que has preparado a la vista de todos los pueblos:","congregation","indent"
"luz que ilumina a las naciones *","congregation","hangingIndent"
"y gloria de tu pueblo Israel».","congregation","indent"
"Gloria al Padre, y al Hijo y al Espíritu Santo: *","congregation","hangingIndent"
"como era al principio, ahora y siempre,","congregation","indent"
"por los siglos de los siglos. Amén","congregation","indent"
"Lucas 2:29-32 (NVI)","citation"
