"大祈祷文"                                                                                                                                                                    ,"heading"     ,true           ,
"以下当跪着、站着，或在行列中说或唱。"                                                                                                                                        ,"rubric"      ,true           ,
"上帝圣父，天地的创造主，"                                                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主怜悯我们。"                                                                                                                                                              ,"congregation","indent"       ,
"上帝圣子，世人的救赎主，"                                                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主怜悯我们。"                                                                                                                                                              ,"congregation","indent"       ,
"上帝圣灵，信徒的圣化主，"                                                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主怜悯我们。"                                                                                                                                                              ,"congregation","indent"       ,
"圣哉，有福的，荣耀的圣三一上帝，"                                                                                                                                            ,"leader"      ,"hangingIndent",true
"求主怜悯我们。"                                                                                                                                                              ,"congregation","indent"       ,
"主耶稣啊，求祢不要记念我们的过犯，也不要记念我们祖先的过犯；不要按我们的罪惩罚我们。善良的主啊，求祢怜恤祢用至尊宝血所救赎的子民，以祢的怜悯永远保守我们。"                ,"leader"      ,"hangingIndent",true
"善良的主啊，求祢怜恤我们。"                                                                                                                                                  ,"congregation","indent"       ,
"脱离一切邪恶罪孽，脱离魔鬼的诡计和攻击，脱离祢的震怒和永远的定罪，"                                                                                                        ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"脱离一切心里的盲目；脱离骄傲、虚荣和虚伪；脱离嫉妒、仇恨和恶毒；并脱离一切缺乏爱心的事，"                                                                                  ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"脱离一切不正当和有罪的情欲；并脱离世界、肉体和魔鬼一切的诡诈，"                                                                                                            ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"脱离一切错谬的教义、异端和分裂；脱离刚硬的心，和藐视祢圣道及诫命的事，"                                                                                                    ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"脱离雷电暴风；脱离地震、水火之灾；脱离瘟疫、灾害和饥荒，"                                                                                                                  ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"脱离一切压迫、阴谋和叛乱；脱离暴力、战争和凶杀；并脱离突然和毫无预备的死亡，"                                                                                              ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"因祢道成肉身的奥秘；因祢圣洁的降生和对律法的顺服；因祢的洗礼、禁食和受试探，"                                                                                              ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"因祢的伤痛和血汗；因祢的十字架和受难；因祢宝贵的死亡和埋葬，"                                                                                                              ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"因祢荣耀的复活和升天；因圣灵的降临；因祢在天上的代求；并因祢大有权能和荣耀的再来，"                                                                                        ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"在一切患难之时；在一切亨通之日；在临终之际，在审判之日，"                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主拯救我们。"                                                                                                                                                              ,"congregation","indent"       ,
"我们罪人恳求祢垂听我们，主上帝啊：求祢以正道治理祢的圣而公之教会，"                                                                                                        ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢以真知识和对祢圣道的明白，光照一切主教、牧师和执事，使他们的宣讲和生活都能彰显祢的道，"                                                                                  ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢差遣工人到祢的禾场去；求祢的圣灵使他们的事工兴旺；使万国万民得知祢的救恩；并加速祢国度的来临，"                                                                        ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢赐恩典给祢所有的子民，使他们谦卑地聆听祢的圣道，以纯洁的心领受，结出圣灵的果子，"                                                                                      ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢引领一切走入迷途和受迷惑的人归向真道，"                                                                                                                                  ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢赐我们一颗敬畏和爱慕祢的心，使我们殷勤遵守祢的诫命，"                                                                                                                  ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢祝福和保守祢所有的子民，"                                                                                                                                                ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢引导祢仆人——我们的领导人和一切掌权者的心，使他们行公义、好怜悯，存谦卑的心行在祢面前，"                                                                                  ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢祝福和引导一切审判官，赐他们恩典秉行公义，维护真理，"                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢祝福和保守我们海陆空三军的将士，在一切危险和困境中庇护他们，"                                                                                                            ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢祝福和保护一切以劳力和学识服务社区的人，"                                                                                                                                ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢赐给我们和众人丰盛的地上出产，使我们在收获时都能享用，"                                                                                                                  ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢止息全世界的战争，赐给万国合一、和平与和睦，"                                                                                                                            ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢怜悯一切被囚的和被掳的，无家可归的和流离失所的，饥饿的人，以及一切孤苦和受压迫的人，"                                                                                    ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢保护一切因工作或旅行而遭遇危险的人，"                                                                                                                                    ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢坚固婚姻的盟约；扶持孤寡和被遗弃的人；安慰一切家庭纷争不安的人，"                                                                                                      ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢保护腹中的胎儿和他们的父母，保守一切临产的妇女；"                                                                                                                        ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢顾念那些丧失孩子或不能生育的人，并看顾年幼的孩童和孤儿，"                                                                                                                ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢眷顾孤独的人和悲伤的人；坚固一切身心灵受苦的人；以祢的同在安慰一切衰弱和病重的人，"                                                                                    ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢扶助、帮助和拯救一切在危险、困乏和患难中的人，"                                                                                                                          ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢怜悯众人，"                                                                                                                                                              ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢赐我们真实的悔改；赦免我们一切的罪愆、疏忽和无知；并以祢圣灵的恩典使我们按祢的圣道改过自新，"                                                                          ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
"求祢赦免我们的仇敌、逼迫我们的和毁谤我们的人，并回转他们的心，"                                                                                                              ,"leader"      ,"hangingIndent",true
"求主垂听我们的祈求。"                                                                                                                                                        ,"congregation","indent"       ,
