"以色列頌","heading"
"（撒迦利亞頌）","subheading"
"","spacer"
"主──以色列的上帝是應當稱頌的！*","congregation","hangingIndent"
"因祂眷顧祂的百姓，為他們施行救贖，","congregation","indent"
"在祂僕人大衛家中，*","congregation","hangingIndent"
"為我們興起了拯救的角，","congregation","indent"
"正如主藉着古時候聖先知的口所說的，祂拯救我們脫離仇敵，*","congregation","hangingIndent"
"脫離一切恨我們之人的手。","congregation","indent"
"祂向我們列祖施憐憫，*","congregation","hangingIndent"
"記得祂的聖約，","congregation","indent"
"就是祂對我們祖宗亞伯拉罕所起的誓，*","congregation","hangingIndent"
"叫我們既從仇敵手中被救出來，","congregation","indent"
"就可以終身在祂面前，*","congregation","hangingIndent"
"無所懼怕地用聖潔和公義事奉祂。","congregation","indent"
"孩子啊，你要稱為至高者的先知；*","congregation","hangingIndent"
"因為你要走在主的前面，為祂預備道路，","congregation","indent"
"叫祂的百姓因罪得赦，*","congregation","hangingIndent"
"認識救恩；","congregation","indent"
"因我們上帝憐憫的心腸，*","congregation","hangingIndent"
"叫清晨的日光從高天臨到我們，","congregation","indent"
"要照亮坐在黑暗中死蔭裏的人，*","congregation","hangingIndent"
"把我們的腳引到和平的路上。","congregation","indent"
"但願榮耀歸於聖父、聖子、聖靈，*","congregation","hangingIndent"
"始初如此，現今如此，後來亦如此，永無窮盡。阿們。","congregation","indent"
