"Benedictus","heading"
"La Canción de Zacarías","subheading"
"","spacer"
"«Bendito sea el Señor, Dios de Israel, *","congregation","hangingIndent"
"porque ha venido a redimir a su pueblo.","congregation","indent"
"Nos envió un poderoso Salvador *","congregation","hangingIndent"
"en la casa de David su siervo","congregation","indent"
"como lo prometió en el pasado por medio de sus santos profetas, *","congregation","hangingIndent"
"para librarnos de nuestros enemigos","congregation","indent"
"y del poder de todos los que nos aborrecen;","congregation","indent"
"para mostrar misericordia a nuestros padres *","congregation","hangingIndent"
"al acordarse de su santo pacto.","congregation","indent"
"Así lo juró a Abraham nuestro padre: *","congregation","hangingIndent"
"nos concedió que fuéramos libres del temor,","congregation","indent"
"al rescatarnos del poder de nuestros enemigos,","congregation","indent"
"para que le sirviéramos","congregation","indent"
"con santidad y justicia, *","congregation","hangingIndent"
"viviendo en su presencia todos nuestros días.","congregation","indent"
"»Y tú, hijito mío, serás llamado profeta del Altísimo, *","congregation","hangingIndent"
"porque irás delante del Señor para prepararle el camino.","congregation","indent"
"Darás a conocer a su pueblo la salvación *","congregation","hangingIndent"
"mediante el perdón de sus pecados,","congregation","indent"
"gracias a la entrañable misericordia de nuestro Dios. *","congregation","hangingIndent"
"Así nos visitará desde el cielo el sol naciente,","congregation","indent"
"para dar luz a los que viven en tinieblas, en la más terrible oscuridad, *","congregation","hangingIndent"
"para guiar nuestros pasos por la senda de la paz».","congregation","indent"
"Gloria al Padre, y al Hijo y al Espíritu Santo: *","congregation","hangingIndent"
"Como era al principio, ahora y siempre, por los siglos de los siglos. Amén.","congregation","indent"
"Lucas 1:68-79 (NVI)","citation"
