"逾越頌","heading"
"基督是我們的逾越節","subheading"
"主禮與會眾同立","rubric"
"哈利路亞。我們逾越節的羔羊基督已經被殺獻為祭牲了。*","congregation","hangingIndent"
"所以，我們來守這節，","congregation","indent"
"不用舊酵，就是惡毒邪惡的酵，*","congregation","hangingIndent"
"只用無酵餅，就是誠實真正的無酵餅。哈利路亞。","congregation","indent"
"基督既從死裏復活，就不再死，*","congregation","hangingIndent"
"死也不再作祂的主了。","congregation","indent"
"祂死是向罪死了，只有一次；*","congregation","hangingIndent",
"祂活是向上帝活着。","congregation","indent"
"這樣，你們向罪也當看自己是死的，*","congregation","hangingIndent"
"向上帝在基督耶穌裏，卻當看自己是活的。哈利路亞。","congregation","indent"
"但基督已經從死裏復活，*","congregation","hangingIndent"
"成為睡了之人初熟的果子。","congregation","indent"
"死既是因一人而來，*","congregation","hangingIndent"
"死人復活也是因一人而來。","congregation","indent"
"在亞當裏眾人都死了；*","congregation","hangingIndent"
"照樣，在基督裏眾人也都要復活。哈利路亞。","congregation","indent"
"哥林多前書 5:7-8","citation"
"羅馬書 6:9-11","citation"
"哥林多前書 15:20-22","citation"
