"Pascha Nostrum","heading"
"Cristo nuestra Pascua","subheading"
"Todos se ponen de pie","rubric"
"Desháganse de la vieja levadura para que sean masa nueva, panes sin levadura, como lo son en realidad. *","congregation","hangingIndent"
"Porque Cristo, nuestro Cordero pascual, ya ha sido sacrificado.","congregation","indent"
"Así que celebremos nuestra Pascua no con la vieja levadura, que es la malicia y la perversidad, *","congregation","hangingIndent"
"sino con pan sin levadura, que es la sinceridad y la verdad.","congregation","indent"
"Pues sabemos que Cristo, por haber sido levantado de entre los muertos, ya no puede volver a morir; *","congregation","hangingIndent"
"la muerte ya no tiene dominio sobre él.","congregation","indent"
"En cuanto a su muerte, murió al pecado una vez y para siempre; *","congregation","hangingIndent"
"en cuanto a su vida, vive para Dios.","congregation","indent"
"De la misma manera, también ustedes considérense muertos al pecado, *","congregation","hangingIndent"
"pero vivos para Dios en Cristo Jesús.","congregation","indent"
"Lo cierto es que Cristo ha sido levantado de entre los muertos, *","congregation","hangingIndent"
"como primicias de los que murieron.","congregation","indent"
"De hecho, ya que la muerte vino por medio de un hombre, *","congregation","hangingIndent"
"también por medio de un hombre viene la resurrección de los muertos.","congregation","indent"
"Pues así como en Adán todos mueren, *","congregation","hangingIndent"
"también en Cristo todos volverán a vivir.","congregation","indent"
"1 Corintios 5: 7-8","citation"
"Romanos 6: 9-11","citation"
"1 Corintios 15:20-22","citation"
