"呼召"                                                     ,"subheading", true
"主的一切受造之物，你们要称颂主，*"                        ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"在祂权能的穹苍中称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","hangingIndent",true
"一、宇宙万象"                                             ,"subheading"  ,true           ,
"主的天使和一切天上的权能，你们要称颂主，*"                ,"congregation","hangingIndent",
"诸天和天上的众水也当如此。"                               ,"congregation","indent"
"日月星辰，你们要称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"一切雨露，你们要称颂主，*"                                ,"congregation","hangingIndent",
"一切风、火和热也当如此。"                                 ,"congregation","indent"
"冬天夏天，你们要称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"寒冷凛冽，你们要称颂主，*"                                ,"congregation","hangingIndent",
"甘露和雪花也当如此。"                                     ,"congregation","indent"
"霜雪冰霰，你们要称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"黑夜白昼，你们要称颂主，*"                                ,"congregation","hangingIndent",
"光明和幽暗也当如此。"                                     ,"congregation","indent"
"雷电风云，你们要称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","hangingIndent",true
"二、地和其中一切受造之物"                                 ,"subheading"  ,true           ,
"大地，你要称颂主，*"                                      ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"山岭丘陵和地上一切生长的，你们要称颂主，*"                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"泉源、海洋和江河，你们要称颂主，*"                        ,"congregation","hangingIndent",
"鲸鱼和水中一切游动的也当如此。"                           ,"congregation","indent"
"空中的飞鸟，你们要称颂主，*"                              ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"野地的走兽，你们要称颂主，*"                              ,"congregation","hangingIndent",
"一切牛群羊群也当如此。"                                   ,"congregation","indent"
"普天下的人，你们要称颂主，*"                              ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","hangingIndent",true
"三、上帝的子民"                                           ,"subheading"  ,true           ,
"上帝的子民，你们要称颂主，*"                              ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"主的祭司和仆人，你们要称颂主，*"                          ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"义人的灵魂，你们要称颂主，*"                              ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"圣洁谦卑的人，你们要称颂主，*"                            ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","hangingIndent",true
"荣归圣三一"                                               ,"subheading"  ,true           ,
"让我们称颂主：圣父、圣子和圣灵，*"                       ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","indent"
"在祂权能的穹苍中称颂主，*"                                ,"congregation","hangingIndent",
"赞美祂，高举祂，直到永远。"                               ,"congregation","hangingIndent"
